,Epoch Time,Commute Time,Commute Date,Commute Start,Commute Name
0,1583154000,2535,3/2/2020,5,"Moffett Field, CA to Salesforce Tower"
1,1583157600,2816,3/2/2020,6,"Moffett Field, CA to Salesforce Tower"
2,1583161200,3870,3/2/2020,7,"Moffett Field, CA to Salesforce Tower"
3,1583164800,4414,3/2/2020,8,"Moffett Field, CA to Salesforce Tower"
4,1583168400,3778,3/2/2020,9,"Moffett Field, CA to Salesforce Tower"
5,1583172000,3263,3/2/2020,10,"Moffett Field, CA to Salesforce Tower"
6,1583175600,3017,3/2/2020,11,"Moffett Field, CA to Salesforce Tower"
7,1583179200,2893,3/2/2020,12,"Moffett Field, CA to Salesforce Tower"
8,1583240400,2467,3/3/2020,5,"Moffett Field, CA to Salesforce Tower"
9,1583244000,2831,3/3/2020,6,"Moffett Field, CA to Salesforce Tower"
10,1583247600,4049,3/3/2020,7,"Moffett Field, CA to Salesforce Tower"
11,1583251200,4815,3/3/2020,8,"Moffett Field, CA to Salesforce Tower"
12,1583254800,3905,3/3/2020,9,"Moffett Field, CA to Salesforce Tower"
13,1583258400,3362,3/3/2020,10,"Moffett Field, CA to Salesforce Tower"
14,1583262000,3099,3/3/2020,11,"Moffett Field, CA to Salesforce Tower"
15,1583265600,2973,3/3/2020,12,"Moffett Field, CA to Salesforce Tower"
16,1583326800,2557,3/4/2020,5,"Moffett Field, CA to Salesforce Tower"
17,1583330400,2860,3/4/2020,6,"Moffett Field, CA to Salesforce Tower"
18,1583334000,4197,3/4/2020,7,"Moffett Field, CA to Salesforce Tower"
19,1583337600,4867,3/4/2020,8,"Moffett Field, CA to Salesforce Tower"
20,1583341200,3929,3/4/2020,9,"Moffett Field, CA to Salesforce Tower"
21,1583344800,3339,3/4/2020,10,"Moffett Field, CA to Salesforce Tower"
22,1583348400,3134,3/4/2020,11,"Moffett Field, CA to Salesforce Tower"
23,1583352000,3091,3/4/2020,12,"Moffett Field, CA to Salesforce Tower"
24,1583413200,2487,3/5/2020,5,"Moffett Field, CA to Salesforce Tower"
25,1583416800,2791,3/5/2020,6,"Moffett Field, CA to Salesforce Tower"
26,1583420400,4038,3/5/2020,7,"Moffett Field, CA to Salesforce Tower"
27,1583424000,4842,3/5/2020,8,"Moffett Field, CA to Salesforce Tower"
28,1583427600,3897,3/5/2020,9,"Moffett Field, CA to Salesforce Tower"
29,1583431200,3472,3/5/2020,10,"Moffett Field, CA to Salesforce Tower"
30,1583434800,3213,3/5/2020,11,"Moffett Field, CA to Salesforce Tower"
31,1583438400,3190,3/5/2020,12,"Moffett Field, CA to Salesforce Tower"
32,1583499600,2429,3/6/2020,5,"Moffett Field, CA to Salesforce Tower"
33,1583503200,2756,3/6/2020,6,"Moffett Field, CA to Salesforce Tower"
34,1583506800,3593,3/6/2020,7,"Moffett Field, CA to Salesforce Tower"
35,1583510400,4227,3/6/2020,8,"Moffett Field, CA to Salesforce Tower"
36,1583514000,3634,3/6/2020,9,"Moffett Field, CA to Salesforce Tower"
37,1583517600,3358,3/6/2020,10,"Moffett Field, CA to Salesforce Tower"
38,1583521200,3217,3/6/2020,11,"Moffett Field, CA to Salesforce Tower"
39,1583524800,3369,3/6/2020,12,"Moffett Field, CA to Salesforce Tower"
40,1583586000,2409,3/7/2020,5,"Moffett Field, CA to Salesforce Tower"
41,1583589600,2456,3/7/2020,6,"Moffett Field, CA to Salesforce Tower"
42,1583593200,2545,3/7/2020,7,"Moffett Field, CA to Salesforce Tower"
43,1583596800,2623,3/7/2020,8,"Moffett Field, CA to Salesforce Tower"
44,1583600400,2749,3/7/2020,9,"Moffett Field, CA to Salesforce Tower"
45,1583604000,2970,3/7/2020,10,"Moffett Field, CA to Salesforce Tower"
46,1583607600,3185,3/7/2020,11,"Moffett Field, CA to Salesforce Tower"
47,1583611200,3496,3/7/2020,12,"Moffett Field, CA to Salesforce Tower"
48,1583668800,2338,3/8/2020,5,"Moffett Field, CA to Salesforce Tower"
49,1583672400,2387,3/8/2020,6,"Moffett Field, CA to Salesforce Tower"
50,1583676000,2543,3/8/2020,7,"Moffett Field, CA to Salesforce Tower"
51,1583679600,2533,3/8/2020,8,"Moffett Field, CA to Salesforce Tower"
52,1583683200,2610,3/8/2020,9,"Moffett Field, CA to Salesforce Tower"
53,1583686800,2752,3/8/2020,10,"Moffett Field, CA to Salesforce Tower"
54,1583690400,2815,3/8/2020,11,"Moffett Field, CA to Salesforce Tower"
55,1583694000,2937,3/8/2020,12,"Moffett Field, CA to Salesforce Tower"
